vrsta,otok,spol,prehrana,dob,zdravlje,godina,oklop_duljina,oklop_sirina,peraja_duljina,masa,vrijeme_zarona
glavata zelva,Lastovo,zenka,lignje,odrasla,zdrava,2024,32.2,19.8,219,4437,64.37
glavata zelva,Lastovo,zenka,lignje,subadultna,zdrava,2024,31.8,19.3,197,3749,57.49
glavata zelva,Lastovo,zenka,lignje,odrasla,zdrava,2024,42.7,20,218,4866,68.66
glavata zelva,Lastovo,zenka,lignje,subadultna,ozlijedjena,2024,33.4,14.8,193,4527,65.27
glavata zelva,Lastovo,zenka,lignje,odrasla,ozlijedjena,2024,33.6,20.9,216,5069,70.69
glavata zelva,Lastovo,zenka,lignje,subadultna,ozlijedjena,2024,32.7,17.8,166,4603,66.03
glavata zelva,Lastovo,zenka,lignje,odrasla,pothranjena,2024,56.7,17,206,4030,60.3
glavata zelva,Lastovo,muzjak,lignje,odrasla,ozlijedjena,2024,46.1,18.8,254,6131,81.31
glavata zelva,Lastovo,muzjak,lignje,subadultna,zdrava,2024,34.4,23.3,207,4929,69.29
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,54.2,15,229,6385,83.85
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,50.6,19,227,6729,87.29
glavata zelva,Vis,zenka,riba,subadultna,ozlijedjena,2024,42.2,20,202,4654,66.54
glavata zelva,Vis,zenka,riba,subadultna,ozlijedjena,2024,44.4,16.2,204,4540,65.4
glavata zelva,Vis,zenka,riba,odrasla,zdrava,2024,56.3,18,220,4289,62.89
glavata zelva,Vis,zenka,riba,subadultna,zdrava,2024,41.1,15.9,202,4270,62.7
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,50,20.7,228,5835,78.35
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,49,19.8,254,5244,72.44
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,58.1,20.1,244,5567,75.67
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,45.5,18.6,258,5120,71.2
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,49.6,22.5,211,5684,76.84
glavata zelva,Vis,zenka,riba,odrasla,zdrava,2024,55,18.4,239,4374,63.74
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,44.4,20.8,237,5454,74.54
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,61.6,14.8,236,5825,78.25
glavata zelva,Vis,zenka,riba,subadultna,ozlijedjena,2024,51.5,16.9,190,5184,71.84
glavata zelva,Vis,zenka,riba,subadultna,ozlijedjena,2024,53.9,16.1,210,4896,68.96
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,50.2,19.2,221,6041,80.41
glavata zelva,Vis,zenka,riba,odrasla,zdrava,2024,51.5,15.8,237,4856,68.56
glavata zelva,Vis,zenka,riba,subadultna,ozlijedjena,2024,45.4,20.3,221,5057,70.57
glavata zelva,Vis,zenka,riba,subadultna,ozlijedjena,2024,44.1,17.3,237,4876,68.76
glavata zelva,Vis,zenka,riba,odrasla,ozlijedjena,2024,46.9,23.5,219,6284,82.84
glavata zelva,Vis,zenka,riba,subadultna,ozlijedjena,2024,37.2,18.6,221,4817,68.17
glavata zelva,Vis,zenka,riba,subadultna,ozlijedjena,2024,42.1,17.5,207,4601,66.01
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,48.7,18,230,6069,80.69
glavata zelva,Vis,muzjak,riba,odrasla,ozlijedjena,2024,71.3,21.6,261,6220,82.2
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,52.9,22.9,232,5463,74.63
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,46.5,16.4,237,6146,81.46
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,48.1,18.8,211,5638,76.38
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,62,18.1,263,5304,73.04
glavata zelva,Vis,muzjak,riba,odrasla,ozlijedjena,2024,44.4,21.7,263,6603,86.03
glavata zelva,Vis,muzjak,riba,odrasla,ozlijedjena,2024,63.9,24.7,259,6959,89.59
glavata zelva,Vis,muzjak,riba,subadultna,zdrava,2024,50.7,17.7,236,4806,68.06
glavata zelva,Vis,muzjak,riba,subadultna,zdrava,2024,38.2,16.7,229,4924,69.24
glavata zelva,Vis,muzjak,riba,odrasla,ozlijedjena,2024,57.7,25.1,250,6709,87.09
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,57.7,19.1,233,5515,75.15
glavata zelva,Vis,muzjak,riba,odrasla,ozlijedjena,2024,58.4,20,248,6579,85.79
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,55.4,15.7,227,5246,72.46
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,44.1,14.3,235,5400,74
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,59.5,21.7,245,5816,78.16
glavata zelva,Vis,muzjak,riba,odrasla,ozlijedjena,2024,56.3,18,247,6528,85.28
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,41.3,18.4,253,5545,75.45
glavata zelva,Vis,muzjak,riba,subadultna,zdrava,2024,62.8,15.7,238,4813,68.13
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,51,20,250,5539,75.39
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,51.5,16.6,224,5773,77.73
glavata zelva,Vis,muzjak,riba,subadultna,ozlijedjena,2024,55.9,16.3,227,5527,75.27
glavata zelva,Vis,zenka,kril,subadultna,ozlijedjena,2024,28.2,14.4,177,4312,63.12
glavata zelva,Vis,zenka,kril,subadultna,ozlijedjena,2024,31.3,20.5,166,4347,63.47
glavata zelva,Vis,zenka,kril,odrasla,zdrava,2024,27.3,19.1,196,4217,62.17
glavata zelva,Vis,zenka,kril,subadultna,zdrava,2024,31.2,16.2,185,3972,59.72
glavata zelva,Vis,muzjak,kril,subadultna,zdrava,2024,32.9,13.9,188,4750,67.5
glavata zelva,Vis,zenka,kril,subadultna,zdrava,2024,27.8,17.1,185,3845,58.45
glavata zelva,Vis,zenka,kril,subadultna,zdrava,2024,27.9,14.4,186,3996,59.96
glavata zelva,Vis,zenka,kril,subadultna,pothranjena,2024,29.8,15,183,3629,56.29
glavata zelva,Vis,zenka,kril,subadultna,pothranjena,2024,25.2,20.4,167,3492,54.92
glavata zelva,Vis,zenka,kril,subadultna,zdrava,2024,28.1,16.2,173,3715,57.15
glavata zelva,Vis,zenka,kril,odrasla,zdrava,2024,27,19.1,183,4551,65.51
glavata zelva,Vis,zenka,kril,subadultna,zdrava,2024,25.3,18.1,171,3824,58.24
glavata zelva,Vis,zenka,kril,subadultna,zdrava,2024,24.1,16.7,159,4176,61.76
glavata zelva,Vis,zenka,kril,odrasla,zdrava,2024,25.2,21.7,191,4476,64.76
glavata zelva,Vis,zenka,kril,subadultna,zdrava,2024,26.2,15.5,177,4028,60.28
glavata zelva,Vis,zenka,kril,odrasla,ozlijedjena,2024,18,18.1,183,5731,77.31
glavata zelva,Vis,zenka,kril,subadultna,pothranjena,2024,27.9,16.2,177,3562,55.62
glavata zelva,Vis,zenka,kril,subadultna,zdrava,2024,30.2,15.4,184,3761,57.61
glavata zelva,Vis,zenka,kril,subadultna,ozlijedjena,2024,27.7,15.2,185,4306,63.06
glavata zelva,Vis,zenka,kril,odrasla,ozlijedjena,2024,34.5,19.1,207,5013,70.13
glavata zelva,Vis,zenka,kril,odrasla,zdrava,2024,27.4,21.7,192,4468,64.68
glavata zelva,Vis,zenka,kril,subadultna,pothranjena,2024,26,14.6,171,3372,53.72
glavata zelva,Vis,zenka,kril,subadultna,pothranjena,2024,24.6,16.6,175,3415,54.15
glavata zelva,Vis,zenka,kril,subadultna,zdrava,2024,38.4,18.5,170,3777,57.77
glavata zelva,Vis,zenka,kril,subadultna,zdrava,2024,13.6,21,196,3778,57.78
glavata zelva,Vis,muzjak,kril,odrasla,pothranjena,2024,38.9,21.9,195,3994,59.94
glavata zelva,Vis,muzjak,kril,subadultna,pothranjena,2024,27.2,16.9,218,4457,64.57
glavata zelva,Vis,muzjak,kril,subadultna,ozlijedjena,2024,30.1,19.7,199,5656,76.56
glavata zelva,Vis,muzjak,kril,odrasla,pothranjena,2024,33.3,19.9,232,5086,70.86
glavata zelva,Vis,muzjak,kril,odrasla,ozlijedjena,2024,32.1,24,212,6122,81.22
glavata zelva,Vis,muzjak,kril,subadultna,zdrava,2024,30.2,18.1,233,4737,67.37
glavata zelva,Vis,muzjak,kril,subadultna,pothranjena,2024,38.8,18.2,181,4110,61.1
glavata zelva,Vis,muzjak,kril,odrasla,zdrava,2024,34.5,16,208,5813,78.13
glavata zelva,Vis,muzjak,kril,subadultna,zdrava,2024,27.2,19.4,189,4672,66.72
glavata zelva,Vis,muzjak,kril,subadultna,zdrava,2024,40.4,16.4,188,4662,66.62
glavata zelva,Vis,muzjak,kril,subadultna,pothranjena,2024,29,16.9,206,3961,59.61
glavata zelva,Vis,muzjak,kril,odrasla,pothranjena,2024,26.1,23.3,187,4764,67.64
glavata zelva,Vis,muzjak,kril,subadultna,pothranjena,2024,26.6,17.9,189,4323,63.23
glavata zelva,Vis,muzjak,kril,subadultna,pothranjena,2024,28.7,16.9,209,4489,64.89
glavata zelva,Vis,muzjak,kril,subadultna,zdrava,2024,24.6,18.3,192,4897,68.97
glavata zelva,Vis,muzjak,kril,odrasla,zdrava,2024,32.3,20.4,214,5465,74.65
glavata zelva,Vis,muzjak,kril,odrasla,pothranjena,2024,36.6,20.5,215,4973,69.73
glavata zelva,Vis,muzjak,kril,odrasla,pothranjena,2024,31.2,17.7,227,4085,60.85
glavata zelva,Vis,muzjak,kril,subadultna,ozlijedjena,2024,25.3,17.7,208,5270,72.7
glavata zelva,Vis,muzjak,kril,odrasla,ozlijedjena,2024,35.9,20,218,6305,83.05
glavata zelva,Vis,muzjak,kril,odrasla,pothranjena,2024,29.6,21.4,189,4484,64.84
glavata zelva,Vis,muzjak,kril,odrasla,pothranjena,2024,27.8,17.8,199,5071,70.71
glavata zelva,Vis,muzjak,kril,odrasla,zdrava,2024,38.5,22,228,5493,74.93
glavata zelva,Vis,muzjak,kril,subadultna,ozlijedjena,2024,24.9,21.2,208,5116,71.16
glavata zelva,Vis,muzjak,kril,subadultna,zdrava,2024,31.9,17,185,4881,68.81
glavata zelva,Vis,muzjak,kril,odrasla,zdrava,2024,30.6,20.3,216,5539,75.39
glavata zelva,Vis,zenka,meduze,juvenilna,zdrava,2024,25.5,12.4,173,3182,51.82
glavata zelva,Vis,zenka,meduze,juvenilna,zdrava,2024,36.1,18.2,150,3068,50.68
glavata zelva,Vis,zenka,meduze,juvenilna,zdrava,2024,38.5,14.3,167,3075,50.75
glavata zelva,Vis,zenka,meduze,juvenilna,zdrava,2024,28,18.2,187,3007,50.07
glavata zelva,Vis,zenka,meduze,juvenilna,zdrava,2024,30.6,12.8,185,2923,49.23
glavata zelva,Vis,zenka,meduze,juvenilna,pothranjena,2024,26.9,16.9,178,2730,47.3
glavata zelva,Vis,zenka,meduze,juvenilna,pothranjena,2024,23.7,17.7,188,2765,47.65
glavata zelva,Vis,zenka,meduze,juvenilna,zdrava,2024,24.4,17.5,167,2923,49.23
glavata zelva,Vis,zenka,meduze,juvenilna,zdrava,2024,24.5,15.8,169,2976,49.76
glavata zelva,Vis,zenka,meduze,juvenilna,zdrava,2024,36.2,17,167,2806,48.06
glavata zelva,Vis,zenka,meduze,juvenilna,pothranjena,2024,32.2,15.9,176,2792,47.92
glavata zelva,Vis,zenka,meduze,juvenilna,zdrava,2024,25.2,12.9,199,2927,49.27
glavata zelva,Vis,muzjak,meduze,juvenilna,zdrava,2024,28,16.4,189,3682,56.82
glavata zelva,Vis,muzjak,meduze,juvenilna,pothranjena,2024,22.8,13.2,174,3384,53.84
glavata zelva,Vis,muzjak,meduze,juvenilna,ozlijedjena,2024,32.8,14.7,177,4050,60.5
glavata zelva,Vis,muzjak,meduze,juvenilna,zdrava,2024,21.7,19.8,187,3497,54.97
glavata zelva,Vis,muzjak,meduze,juvenilna,zdrava,2024,38.5,12.7,194,3580,55.8
glavata zelva,Vis,muzjak,meduze,juvenilna,zdrava,2024,34.6,17.5,181,3596,55.96
glavata zelva,Vis,muzjak,meduze,juvenilna,pothranjena,2024,34.4,14.2,196,3188,51.88
glavata zelva,Vis,muzjak,meduze,juvenilna,zdrava,2024,30.7,15.7,187,3760,57.6
glavata zelva,Vis,muzjak,meduze,juvenilna,ozlijedjena,2024,39.9,12,188,3814,58.14
glavata zelva,Vis,muzjak,meduze,juvenilna,pothranjena,2024,37.5,15.2,187,3340,53.4
glavata zelva,Vis,muzjak,meduze,juvenilna,zdrava,2024,21.8,18.6,167,3563,55.63
glavata zelva,Vis,muzjak,meduze,juvenilna,zdrava,2024,37.4,15,165,3402,54.02
glavata zelva,Vis,muzjak,meduze,juvenilna,zdrava,2024,35.4,19,199,3673,56.73
glavata zelva,Vis,muzjak,meduze,juvenilna,ozlijedjena,2024,30.9,15.7,187,4120,61.2
glavata zelva,Vis,muzjak,meduze,juvenilna,ozlijedjena,2024,32.4,11.1,166,4005,60.05
glavata zelva,Vis,muzjak,meduze,juvenilna,zdrava,2024,35.1,16.3,190,3573,55.73
glavata zelva,Vis,muzjak,meduze,juvenilna,zdrava,2024,43.1,16.2,177,3740,57.4
glavata zelva,Vis,muzjak,meduze,juvenilna,pothranjena,2024,29.2,12.3,191,3220,52.2
glavata zelva,Vis,zenka,lignje,odrasla,zdrava,2024,39.4,18,226,4864,68.64
glavata zelva,Vis,zenka,lignje,subadultna,zdrava,2024,36.6,16.3,216,4249,62.49
glavata zelva,Vis,zenka,lignje,subadultna,zdrava,2024,27.5,15.3,198,4036,60.36
glavata zelva,Vis,muzjak,lignje,odrasla,pothranjena,2024,46,20,238,5080,70.8
glavata zelva,Vis,muzjak,lignje,odrasla,zdrava,2024,48.2,17.5,232,5773,77.73
glavata zelva,Vis,muzjak,lignje,subadultna,zdrava,2024,36.3,16.6,255,4688,66.88
